emission_signature_similarity,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09820663508145584,5.5966123301959865
0.0,0,Emission-filtered NNLS,0.5285397877949931,10.403882032022068
0.0,1,FE calibrated NNLS,0.10160307899092129,5.5966123301959865
0.0,1,Emission-filtered NNLS,0.5257368793430897,10.403882032022068
0.0,2,FE calibrated NNLS,0.10115220854796625,5.5966123301959865
0.0,2,Emission-filtered NNLS,0.5260456959359567,10.403882032022068
0.0,3,FE calibrated NNLS,0.09755920732545978,5.5966123301959865
0.0,3,Emission-filtered NNLS,0.52736897083439,10.403882032022068
0.0,4,FE calibrated NNLS,0.10005161678212546,5.5966123301959865
0.0,4,Emission-filtered NNLS,0.5272533722042858,10.403882032022068
0.0,5,FE calibrated NNLS,0.09819457040896784,5.5966123301959865
0.0,5,Emission-filtered NNLS,0.5334170879052638,10.403882032022068
0.25,0,FE calibrated NNLS,0.09853218361162738,5.5966123301959865
0.25,0,Emission-filtered NNLS,0.5842091090411379,13.743907153024283
0.25,1,FE calibrated NNLS,0.09885930239770999,5.5966123301959865
0.25,1,Emission-filtered NNLS,0.5810309227928552,13.743907153024283
0.25,2,FE calibrated NNLS,0.09888357514051496,5.5966123301959865
0.25,2,Emission-filtered NNLS,0.581516414537133,13.743907153024283
0.25,3,FE calibrated NNLS,0.0969693573367976,5.5966123301959865
0.25,3,Emission-filtered NNLS,0.5774690406448999,13.743907153024283
0.25,4,FE calibrated NNLS,0.10156692387756666,5.5966123301959865
0.25,4,Emission-filtered NNLS,0.582522854579521,13.743907153024283
0.25,5,FE calibrated NNLS,0.09699507086569632,5.5966123301959865
0.25,5,Emission-filtered NNLS,0.5866003687768151,13.743907153024283
0.5,0,FE calibrated NNLS,0.09884583625446984,5.5966123301959865
0.5,0,Emission-filtered NNLS,0.6295816344719104,20.45110288155153
0.5,1,FE calibrated NNLS,0.09793602791877666,5.5966123301959865
0.5,1,Emission-filtered NNLS,0.6317986106507932,20.45110288155153
0.5,2,FE calibrated NNLS,0.09759918385386006,5.5966123301959865
0.5,2,Emission-filtered NNLS,0.6314144730028557,20.45110288155153
0.5,3,FE calibrated NNLS,0.09755064511032346,5.5966123301959865
